-BEGIN HEADER-;;;;;
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ;;;;;
Dates (month/day/year): 01/01/2012 through 12/31/2021 ;;;;;
Location: Latitude  -33.7453   Longitude -70.0584 ;;;;;
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 3232.94 meters;;;;;
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ;;;;;
Parameter(s): ;;;;;
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ;;;;;
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ;;;;;
PREC     MERRA-2 Precipitation Corrected (mm/day) ;;;;;
T2M     MERRA-2 Temperature at 2 Meters (C) ;;;;;
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) ;;;;;
-END HEADER-;;;;;
;QV2M (g/kg) ;RH2M (%);Prec (mm);T2M ( C);WS2M (m/S)
01-01-2012;5.25;44.12;0.0;13.77;3.1
02-01-2012;5.37;42.69;0.0;13.98;1.99
03-01-2012;3.85;33.62;0.0;13.61;2.09
04-01-2012;5.43;46.69;0.0;12.4;1.47
05-01-2012;5.86;58.88;0.0;9.93;1.93
06-01-2012;5.74;60.0;0.08;8.94;2.2
07-01-2012;5.19;48.25;0.0;11.39;2.2
08-01-2012;4.27;42.56;0.0;10.35;3.06
09-01-2012;4.52;51.38;0.0;7.3;3.53
10-01-2012;3.72;44.5;0.0;7.29;2.85
11-01-2012;3.54;39.12;0.0;8.9;1.57
12-01-2012;3.78;39.38;0.0;11.25;1.7
13-01-2012;5.0;46.12;0.0;11.55;1.7
14-01-2012;5.8;59.88;0.01;9.54;1.55
15-01-2012;5.8;55.56;0.76;10.14;1.77
16-01-2012;5.25;55.94;0.15;8.62;2.44
17-01-2012;2.69;33.94;0.01;7.71;2.69
18-01-2012;4.21;45.06;0.0;10.3;2.19
19-01-2012;4.21;41.19;0.0;10.77;2.12
20-01-2012;4.94;51.38;0.28;9.25;2.56
21-01-2012;4.46;51.88;0.11;7.58;2.51
22-01-2012;4.15;49.25;0.11;7.33;2.75
23-01-2012;3.97;62.81;1.72;2.98;3.68
24-01-2012;1.65;27.19;0.05;5.33;2.41
25-01-2012;3.48;40.06;0.0;9.02;2.27
26-01-2012;2.81;26.94;0.0;12.08;1.88
27-01-2012;2.99;28.56;0.0;11.48;2.31
28-01-2012;2.56;28.69;0.04;8.32;2.75
29-01-2012;2.44;29.38;0.03;7.91;3.03
30-01-2012;2.99;36.12;0.31;7.36;3.26
31-01-2012;2.38;27.5;0.74;7.75;2.68
01-02-2012;2.69;30.56;0.0;7.88;2.39
02-02-2012;2.56;29.5;0.01;8.61;2.06
03-02-2012;2.81;30.56;0.0;9.69;2.52
04-02-2012;1.65;17.31;0.01;9.63;2.35
05-02-2012;2.01;19.62;0.08;10.63;2.66
06-02-2012;2.08;19.31;0.04;11.37;2.41
07-02-2012;1.71;16.75;0.23;9.78;2.51
08-02-2012;1.89;24.38;0.35;7.83;2.66
09-02-2012;3.3;37.19;0.0;10.16;1.8
10-02-2012;3.6;35.44;0.0;12.27;2.05
11-02-2012;5.0;42.5;0.0;13.17;1.79
12-02-2012;6.41;63.44;0.25;8.95;1.88
13-02-2012;4.52;51.5;0.07;8.38;2.48
14-02-2012;4.03;45.38;0.46;8.05;2.59
15-02-2012;4.76;49.38;1.45;9.1;2.37
16-02-2012;6.23;62.12;0.55;9.04;2.59
17-02-2012;5.13;61.19;0.02;7.44;2.99
18-02-2012;4.46;63.19;0.44;4.87;3.41
19-02-2012;4.21;50.5;0.12;7.6;2.3
20-02-2012;4.33;52.31;0.0;7.13;2.49
21-02-2012;2.99;36.31;0.0;8.43;2.12
22-02-2012;2.93;30.31;0.19;9.6;2.11
23-02-2012;4.88;55.69;0.25;7.47;1.88
24-02-2012;4.7;58.0;0.04;6.58;2.63
25-02-2012;4.46;64.94;0.0;3.76;3.81
26-02-2012;2.99;34.31;0.0;7.86;2.52
27-02-2012;3.54;46.75;0.0;6.28;3.53
28-02-2012;3.97;61.88;0.0;3.28;3.52
29-02-2012;1.95;34.94;0.0;1.09;3.52
01-03-2012;1.28;12.62;0.0;8.01;2.36
02-03-2012;2.75;30.81;0.0;8.62;2.5
03-03-2012;4.21;42.31;0.0;10.0;2.06
04-03-2012;4.52;48.0;0.0;9.85;2.39
05-03-2012;4.27;51.81;0.0;6.4;2.82
06-03-2012;2.93;35.88;0.0;7.37;2.67
07-03-2012;2.44;22.75;0.0;12.29;1.28
08-03-2012;5.92;51.38;0.0;12.76;2.0
09-03-2012;4.64;40.94;0.01;11.81;2.25
10-03-2012;6.65;61.69;0.1;10.4;1.35
11-03-2012;3.36;38.31;0.01;8.27;2.68
12-03-2012;2.26;28.5;0.0;6.33;2.59
13-03-2012;2.5;26.0;0.0;8.34;1.99
14-03-2012;3.48;37.12;0.0;10.4;1.52
15-03-2012;4.21;43.06;0.0;11.66;1.81
16-03-2012;5.55;48.81;0.0;11.95;1.85
17-03-2012;4.21;45.0;0.0;9.19;2.27
18-03-2012;3.11;36.31;0.0;7.72;2.59
19-03-2012;2.87;35.25;0.06;6.93;2.4
20-03-2012;2.93;39.12;0.09;5.75;2.69
21-03-2012;2.69;40.25;0.0;4.62;2.53
22-03-2012;1.65;19.75;0.0;7.46;1.71
23-03-2012;2.08;23.81;0.0;7.48;1.91
24-03-2012;2.14;27.62;0.0;5.69;2.38
25-03-2012;2.62;37.06;0.0;4.18;2.3
26-03-2012;1.59;24.62;0.0;5.33;1.38
27-03-2012;1.53;17.81;0.0;7.76;1.58
28-03-2012;2.14;25.5;0.0;7.35;2.1
29-03-2012;2.44;28.19;0.0;8.33;1.51
30-03-2012;2.87;29.25;0.0;10.02;1.7
31-03-2012;2.26;21.62;0.0;10.37;1.52
01-04-2012;2.81;31.75;0.96;8.38;1.81
02-04-2012;4.09;52.5;0.79;6.12;2.03
03-04-2012;3.3;47.69;0.0;4.76;2.55
04-04-2012;2.99;54.88;0.0;1.35;3.73
05-04-2012;1.71;26.62;0.0;3.73;2.88
06-04-2012;2.44;37.19;0.0;4.82;2.46
07-04-2012;1.65;27.19;0.0;3.9;2.34
08-04-2012;2.01;27.88;0.0;3.86;2.48
09-04-2012;3.11;52.25;0.06;1.76;2.53
10-04-2012;4.46;67.25;0.0;2.94;1.95
11-04-2012;5.19;67.56;0.0;5.38;1.47
12-04-2012;5.19;67.19;0.0;5.58;1.73
13-04-2012;4.76;77.31;1.12;2.33;2.82
14-04-2012;3.6;68.5;0.01;1.08;2.3
15-04-2012;2.32;42.44;0.0;2.02;2.28
16-04-2012;2.14;40.44;0.0;1.12;2.41
17-04-2012;1.1;17.44;0.0;3.44;2.2
18-04-2012;1.4;22.0;0.0;3.06;2.08
19-04-2012;1.1;14.62;0.0;5.32;1.52
20-04-2012;1.4;19.38;0.0;5.23;1.36
